"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106"
"Dists",1,0.125,0.0434782608695652,0.0333333333333333,0.0212765957446809,0.0263157894736842,0.0125,0.0125,0,0,0,0.0175438596491228,0.0125,0.0147058823529412,0.00645161290322581,0.00934579439252336,0.0125,0.010752688172043,0,0.125,0.0833333333333333,0.0833333333333333,0.125,0.0833333333333333,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0.2,0.0588235294117647,0.0333333333333333,0,0,0,0,0,0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0.00115874855156431,0.00110497237569061,0,0,0.0028328611898017,0.0028328611898017,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00105485232067511,0.000884955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0,0,0.0125,0.0072463768115942,0.010752688172043,0.0125,0.0147058823529412,0,0.0147058823529412,0.0333333333333333,0.0434782608695652,0.0833333333333333,0.0263157894736842,0.0125,0.0175438596491228,0.00520833333333333,0.00305810397553517,0,0,0.00520833333333333,0.00819672131147541,0,0
"Dists",0.125,1,0.125,0.0967741935483871,0.0625,0.0769230769230769,0.037037037037037,0.037037037037037,0,0,0,0.0517241379310345,0.0120481927710843,0.0140845070422535,0.00632911392405063,0.00909090909090909,0.0120481927710843,0.0104166666666667,0,0.333333333333333,0.230769230769231,0.0666666666666667,0.0909090909090909,0.0666666666666667,0.05,0,0,0,0.333333333333333,0.0909090909090909,0,0.0666666666666667,0.0666666666666667,0.0909090909090909,0.0303030303030303,0,0.166666666666667,0.0967741935483871,0.166666666666667,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0.008,0,0.0023121387283237,0.00220507166482911,0,0,0.00280898876404494,0.00280898876404494,0.00212765957446809,0.00212765957446809,0.00212765957446809,0.00210526315789474,0.00176678445229682,0,0,0,0,0,0,0,0,0.0666666666666667,0.05,0,0,0,0.125,0,0.0625,0.0384615384615385,0,0,0.0120481927710843,0.00709219858156028,0.0104166666666667,0.0120481927710843,0.0140845070422535,0.0140845070422535,0.0434782608695652,0.0967741935483871,0.0384615384615385,0.230769230769231,0.0769230769230769,0.037037037037037,0.0517241379310345,0.0155440414507772,0.00914634146341463,0.0909090909090909,0,0.0155440414507772,0.024390243902439,0,0
"Dists",0.0434782608695652,0.125,1,0.324324324324324,0.2,0.295454545454545,0.207317073170732,0.137931034482759,0.0208333333333333,0.0275229357798165,0.00523560209424084,0.101449275362319,0.0531914893617021,0.0609756097560976,0.0357142857142857,0.05,0.0531914893617021,0.0467289719626168,0,0.227272727272727,0.0333333333333333,0.0689655172413793,0.08,0.0689655172413793,0.0588235294117647,0,0,0,0.0384615384615385,0,0,0,0,0,0.0652173913043478,0,0.2,0.13953488372093,0.0285714285714286,0,0,0,0,0,0.05,0.0425531914893617,0,0.117647058823529,0,0,0,0,0,0.00714285714285714,0,0.0091533180778032,0.0120481927710843,0.0016260162601626,0.00476190476190476,0.0191780821917808,0.0304709141274238,0.0146137787056367,0.0146137787056367,0.0146137787056367,0.00834202294056309,0.00789473684210526,0.00366300366300366,0.00366300366300366,0.0116279069767442,0.0116279069767442,0.0116279069767442,0.0357142857142857,0.0476190476190476,0.0909090909090909,0.0333333333333333,0.0909090909090909,0.0333333333333333,0.0384615384615385,0.08,0,0,0.0476190476190476,0.024390243902439,0,0.0704225352112676,0.0531914893617021,0.0397350993377483,0.0467289719626168,0.0645161290322581,0.0609756097560976,0.0116279069767442,0.0357142857142857,0.0652173913043478,0.135135135135135,0.24,0.1875,0.1,0.0704225352112676,0.0603015075376884,0.0359281437125748,0.0384615384615385,0,0.055,0.0930232558139535,0.0425531914893617,0.0384615384615385
"Dists",0.0333333333333333,0.0967741935483871,0.324324324324324,1,0.258620689655172,0.523809523809524,0.341772151898734,0.127659574468085,0.037037037037037,0.043859649122807,0.0153061224489796,0.106666666666667,0.0927835051546392,0.105882352941176,0.0647058823529412,0.0813008130081301,0.0927835051546392,0.0818181818181818,0,0.172413793103448,0.027027027027027,0.0555555555555556,0.0625,0.0555555555555556,0.0487804878048781,0,0,0,0.0303030303030303,0,0,0,0,0,0.037037037037037,0,0.162162162162162,0.12,0.075,0,0,0,0.027027027027027,0.0238095238095238,0.0652173913043478,0.0980392156862745,0.0181818181818182,0.185185185185185,0.0208333333333333,0.0181818181818182,0.0138888888888889,0.0138888888888889,0.00847457627118644,0.0206896551724138,0.00460829493087558,0.017162471395881,0.0152671755725191,0.00483870967741936,0.013953488372093,0.0160857908847185,0.02710027100271,0.0123203285420945,0.0123203285420945,0.0123203285420945,0.0082815734989648,0.00960698689956332,0.0107913669064748,0.0107913669064748,0.010752688172043,0.0217391304347826,0.0217391304347826,0.0561797752808989,0.0735294117647059,0.102564102564103,0.027027027027027,0.102564102564103,0.0857142857142857,0.0625,0.0967741935483871,0,0,0.0579710144927536,0.0208333333333333,0,0.0375,0.0927835051546392,0.0649350649350649,0.0818181818181818,0.104166666666667,0.105882352941176,0.0561797752808989,0.0930232558139535,0.142857142857143,0.225,0.1875,0.361702127659574,0.218390804597701,0.169014084507042,0.0634146341463415,0.0382352941176471,0.0303030303030303,0,0.117948717948718,0.147286821705426,0.0769230769230769,0.0625
"Dists",0.0212765957446809,0.0625,0.2,0.258620689655172,1,0.528301886792453,0.242424242424242,0.0512820512820513,0.028169014084507,0.0149253731343284,0.00934579439252336,0.0309278350515464,0.0165289256198347,0.018348623853211,0.0102040816326531,0.0135135135135135,0.0165289256198347,0.0149253731343284,0,0.108695652173913,0.0185185185185185,0.0377358490566038,0.0408163265306122,0.0377358490566038,0.0909090909090909,0,0,0,0.02,0,0,0,0,0.02,0.0428571428571429,0,0.0526315789473684,0.0428571428571429,0.0169491525423729,0,0.0112359550561798,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0.0100334448160535,0.0149892933618844,0.024,0.0633484162895928,0.0476190476190476,0.0476190476190476,0.0365853658536585,0.0365853658536585,0.0365853658536585,0.0195473251028807,0.0173460537727667,0.0530035335689046,0.0530035335689046,0.15625,0.15625,0.15625,0.15625,0.2,0.111111111111111,0.0576923076923077,0.0526315789473684,0,0,0.02,0,0,0.0588235294117647,0.0153846153846154,0,0,0.0165289256198347,0.0111731843575419,0.0149253731343284,0.0165289256198347,0.018348623853211,0.0277777777777778,0.0571428571428571,0.0895522388059701,0.03125,0.0576923076923077,0.140845070422535,0.0884955752212389,0.149425287356322,0.0262008733624454,0.0164835164835165,0.02,0,0.087962962962963,0.0377358490566038,0.0895522388059701,0
"Dists",0.0263157894736842,0.0769230769230769,0.295454545454545,0.523809523809524,0.528301886792453,1,0.325581395348837,0.0961538461538462,0.032258064516129,0.032520325203252,0.00975609756097561,0.0833333333333333,0.0555555555555556,0.0625,0.0384615384615385,0.0522388059701493,0.0654205607476635,0.0583333333333333,0,0.135135135135135,0.0222222222222222,0.0454545454545455,0.05,0.0454545454545455,0.0851063829787234,0,0,0,0.024390243902439,0,0,0,0,0.024390243902439,0.103448275862069,0,0.133333333333333,0.103448275862069,0.0625,0,0.0125,0,0,0,0.0363636363636364,0.0491803278688525,0,0.142857142857143,0,0,0,0,0,0.012987012987013,0,0.0158550396375991,0.0184381778741865,0.0128410914927769,0.036697247706422,0.0347593582887701,0.0431266846361186,0.0266393442622951,0.0266393442622951,0.0266393442622951,0.0144628099173554,0.0157068062827225,0.0284697508896797,0.0284697508896797,0.0625,0.0851063829787234,0.0851063829787234,0.108695652173913,0.140845070422535,0.186046511627907,0.121951219512195,0.159090909090909,0.0454545454545455,0.024390243902439,0.0769230769230769,0,0,0.0657894736842105,0.0178571428571429,0,0.0224719101123595,0.0555555555555556,0.0424242424242424,0.0495867768595041,0.0654205607476635,0.0625,0.0625,0.108695652173913,0.185185185185185,0.117647058823529,0.15,0.263157894736842,0.151515151515152,0.246575342465753,0.0462962962962963,0.0284900284900285,0.024390243902439,0,0.118811881188119,0.0909090909090909,0.12280701754386,0.024390243902439
"Dists",0.0125,0.037037037037037,0.207317073170732,0.341772151898734,0.242424242424242,0.325581395348837,1,0.228346456692913,0.0816326530612245,0.0833333333333333,0.0418410041841004,0.176991150442478,0.0833333333333333,0.0666666666666667,0.0547945205479452,0.0701754385964912,0.0612244897959184,0.0764331210191083,0,0.0632911392405063,0.0114942528735632,0.0352941176470588,0.024390243902439,0.0352941176470588,0.0449438202247191,0,0,0,0.0120481927710843,0,0,0,0.0114942528735632,0,0.06,0,0.0689655172413793,0.06,0.0333333333333333,0.021978021978022,0.00819672131147541,0,0.0114942528735632,0.0108695652173913,0.0645161290322581,0.0707070707070707,0.00952380952380952,0.128712871287129,0.0102040816326531,0.00952380952380952,0.00819672131147541,0.00819672131147541,0.00595238095238095,0.0206185567010309,0.00374531835205993,0.0273522975929978,0.0283018867924528,0.0150829562594268,0.0347490347490347,0.0412621359223301,0.0540540540540541,0.0362595419847328,0.0362595419847328,0.032319391634981,0.0189054726368159,0.0194420963651733,0.0311526479750779,0.0408805031446541,0.0359712230215827,0.0666666666666667,0.0666666666666667,0.0909090909090909,0.108108108108108,0.0813953488372093,0.0232558139534884,0.0449438202247191,0.0352941176470588,0.0120481927710843,0.037037037037037,0,0,0.0695652173913043,0.0102040816326531,0,0.0230769230769231,0.0833333333333333,0.07,0.0764331210191083,0.0985915492957746,0.0909090909090909,0.0588235294117647,0.0909090909090909,0.139784946236559,0.0879120879120879,0.0731707317073171,0.175257731958763,0.181818181818182,0.220183486238532,0.140425531914894,0.0891891891891892,0.0120481927710843,0,0.165217391304348,0.131428571428571,0.0495049504950495,0.0120481927710843
"Dists",0.0125,0.037037037037037,0.137931034482759,0.127659574468085,0.0512820512820513,0.0961538461538462,0.228346456692913,1,0.0392156862745098,0.0903225806451613,0.0289256198347107,0.29126213592233,0.0985915492957746,0.0827067669172932,0.0596330275229358,0.0892857142857143,0.0540540540540541,0.069620253164557,0,0.0632911392405063,0.0114942528735632,0.0232558139534884,0.024390243902439,0.0232558139534884,0.021978021978022,0,0,0,0.0120481927710843,0,0,0,0,0,0.0192307692307692,0.0125,0.0689655172413793,0.06,0.0108695652173913,0,0,0,0.0352941176470588,0.021978021978022,0.0645161290322581,0.0707070707070707,0.029126213592233,0.14,0.0645161290322581,0.06,0.0512820512820513,0.0423728813559322,0.0242424242424242,0.0259067357512953,0.0113207547169811,0.0228758169934641,0.021875,0.0105105105105105,0.0229007633587786,0.0238663484486874,0.0337349397590361,0.0264650283553875,0.0264650283553875,0.0225988700564972,0.0148662041625372,0.0125944584382872,0.00914634146341463,0.0122324159021407,0,0.0212765957446809,0.0212765957446809,0.0359712230215827,0.0423728813559322,0.0333333333333333,0.0114942528735632,0.021978021978022,0.0232558139534884,0.0120481927710843,0.024390243902439,0,0,0.0512820512820513,0.0102040816326531,0.00884955752212389,0.0230769230769231,0.0612244897959184,0.0594059405940594,0.069620253164557,0.0833333333333333,0.0746268656716418,0.0746268656716418,0.0909090909090909,0.104166666666667,0.0645161290322581,0.0731707317073171,0.128712871287129,0.106382978723404,0.108333333333333,0.300970873786408,0.181818181818182,0.037037037037037,0.0120481927710843,0.0983606557377049,0.1,0.0192307692307692,0.0120481927710843
"Dists",0,0,0.0208333333333333,0.037037037037037,0.028169014084507,0.032258064516129,0.0816326530612245,0.0392156862745098,1,0.214285714285714,0.117977528089888,0.0641025641025641,0.0392156862745098,0.0444444444444444,0.0284090909090909,0.0390625,0.0392156862745098,0.0347826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0.075,0.028169014084507,0,0.0857142857142857,0.0487804878048781,0.0652173913043478,0.142857142857143,0.0566037735849057,0.0847457627118644,0.113636363636364,0.0980392156862745,0.0735294117647059,0.0735294117647059,0.043859649122807,0.0277777777777778,0.013953488372093,0.00793650793650794,0.00757575757575758,0.0130081300813008,0.033175355450237,0.0106666666666667,0.0106666666666667,0.0102459016393443,0.0102459016393443,0.0102459016393443,0.00515995872033024,0.00434404865334492,0.0255474452554745,0.0446096654275093,0.032967032967033,0.0561797752808989,0.0561797752808989,0.0804597701149425,0.106060606060606,0.162162162162162,0.027027027027027,0.075,0.0857142857142857,0.0303030303030303,0.0625,0.0333333333333333,0,0,0,0,0,0.0192307692307692,0.0186335403726708,0.0347826086956522,0.0392156862745098,0.032967032967033,0.0217391304347826,0.0444444444444444,0.037037037037037,0.0425531914893617,0.027027027027027,0,0,0.0375,0.013953488372093,0.00857142857142857,0,0,0.013953488372093,0.0422535211267606,0.037037037037037,0.0303030303030303
"Dists",0,0,0.0275229357798165,0.043859649122807,0.0149253731343284,0.032520325203252,0.0833333333333333,0.0903225806451613,0.214285714285714,1,0.259615384615385,0.303571428571429,0.16551724137931,0.171641791044776,0.156398104265403,0.225,0.104575163398693,0.103030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347826086956522,0,0.00952380952380952,0.00847457627118644,0,0.029126213592233,0.0149253731343284,0,0.0520833333333333,0.06,0.154639175257732,0.214285714285714,0.101851851851852,0.104347826086957,0.0769230769230769,0.101851851851852,0.12396694214876,0.0967741935483871,0.103030303030303,0.134408602150538,0.0807692307692308,0.0484581497797357,0.047418335089568,0.0553846153846154,0.0891472868217054,0.0207852193995381,0.027906976744186,0.0201834862385321,0.0201834862385321,0.0201834862385321,0.0117073170731707,0.00910596026490066,0.0424242424242424,0.0851735015772871,0.0194805194805195,0.0608108108108108,0.0608108108108108,0.105633802816901,0.12396694214876,0.0816326530612245,0.0202020202020202,0.06,0.0631578947368421,0.0319148936170213,0.0543478260869565,0.010752688172043,0,0,0,0,0,0.0368098159509202,0.0412844036697248,0.123456790123457,0.0974025974025974,0.0608108108108108,0.0194805194805195,0.0397350993377483,0.0530973451327434,0.0275229357798165,0.01,0.0241935483870968,0.0242424242424242,0.0428571428571429,0.133064516129032,0.106382978723404,0,0,0.0218181818181818,0.134408602150538,0.043859649122807,0.0319148936170213
