Origin,Protect
"dl-1,4-dimercapto-2,3-butanediol",dl-1#4-dimercapto-2#3-butanediol
"dl-2,3-dihydroxy-1,4-butanedithiol",dl-2#3-dihydroxy-1#4-butanedithiol
"threitol, 1,4-dithio-, dl-",threitol#1#4-dithio-#dl-
"threo-1,4-dimercapto-2,3-butanediol",threo-1#4-dimercapto-2#3-butanediol
"pentane-1,5-diamine",pentane-1#5-diamine
"1,5-di-aminopentane",^1#5-di-aminopentane
"1,5-di-aminopentane dihydrochloride",^1#5-di-aminopentane dihydrochloride
"1,5-diamino-n-pentane",^1#5-diamino-n-pentane
"1,5-diamino-pentane",^1#5-diamino-pentane
"1,5-diaminopentane",^1#5-diaminopentane
"1,5-diaminopentane dihydrochloride",^1#5-diaminopentane dihydrochloride
"1,5-pentamethylenediamine",^1#5-pentamethylenediamine
"1,5-pentanediamine",^1#5-pentanediamine
"pentane-1,5-damne",pentane-1#5-damne
"hexane-1,6-diamine",hexane-1#6-diamine
"1,6 diaminohexane",^1#6 diaminohexane
"1,6 hexanediamine",^1#6 hexanediamine
"1,6-di-aminohexane",^1#6-di-aminohexane
"1,6-di-aminohexane dihydrochloride",^1#6-di-aminohexane dihydrochloride
"1,6-diamino hexane",^1#6-diamino hexane
"1,6-diamino-n-hexane",^1#6-diamino-n-hexane
"1,6-diaminohexane",^1#6-diaminohexane
"1,6-diaminohexane dihydrochloride",^1#6-diaminohexane dihydrochloride
"1,6-hexamethylene diamine",^1#6-hexamethylene diamine
"1,6-hexamethylenediamine",^1#6-hexamethylenediamine
"1,6-hexanediamine",^1#6-hexanediamine
"1,6-hexylenediamine",^1#6-hexylenediamine
"1,6diaminohexane",^1#6diaminohexane
"hexane-1,6-diol",hexane-1#6-diol
"1,6 hexanediol",^1#6 hexanediol
"1,6-dihydroxyhexane",^1#6-dihydroxyhexane
"1,6-hexan-diol",^1#6-hexan-diol
"1,6-hexandiol",^1#6-hexandiol
"1,6-hexane diol",^1#6-hexane diol
"1,6-hexanediol",^1#6-hexanediol
"1,6-hexanediol, homopolymer",^1#6-hexanediol#homopolymer
"1,6-hexylene glycol",^1#6-hexylene glycol
"1,6hexanediol",^1#6hexanediol
"hexan-1,6-diol",hexan-1#6-diol
"hexanediol-(1,6)",hexanediol-(1#6)
"octane-1,8-diamine",octane-1#8-diamine
"1,8 diaminooctane",^1#8 diaminooctane
"1,8-di-aminooctane",^1#8-di-aminooctane
"1,8-di-aminooctane dihydrochloride",^1#8-di-aminooctane dihydrochloride
"1,8-diamineoctane",^1#8-diamineoctane
"1,8-diamino octane",^1#8-diamino octane
"1,8-diaminooctane",^1#8-diaminooctane
"1,8-diaminooctane dihydrochloride",^1#8-diaminooctane dihydrochloride
"1,8-octamethylenediamine",^1#8-octamethylenediamine
"1,8-octane diamine",^1#8-octane diamine
"1,8-octanediamine",^1#8-octanediamine
"1,8-octylenediamine",^1#8-octylenediamine
"octane 1,8-diamine",octane^1#8-diamine
"octane, 1,8-diamino-",octane#1#8-diamino-
"2,2,2-trifluroroethanol",^2#2#2-trifluroroethanol
"1,1,1-trifluoro-2-ethanol",^1#1#1-trifluoro-2-ethanol
"1h,1h-trifluoroethanol",^1h#1h-trifluoroethanol
"2,2,-trifluoroethanol",^2#2#-trifluoroethanol
"2,2,2 trifluoro-ethanol",^2#2#2 trifluoro-ethanol
"2,2,2 trifluoroethanol",^2#2#2 trifluoroethanol
"2,2,2,-trifluoroethanol",^2#2#2#-trifluoroethanol
"2,2,2-tri-fluoroethanol",^2#2#2-tri-fluoroethanol
"2,2,2-trifloro ethanol",^2#2#2-trifloro ethanol
"2,2,2-trifluorethanol",^2#2#2-trifluorethanol
"2,2,2-trifluoro -ethanol",^2#2#2-trifluoro -ethanol
"2,2,2-trifluoro ethanol",^2#2#2-trifluoro ethanol
"2,2,2-trifluoro-ethanol",^2#2#2-trifluoro-ethanol
"2,2,2-trifluoroetanol",^2#2#2-trifluoroetanol
"2,2,2-trifluoroethan-1-ol",^2#2#2-trifluoroethan-1-ol
"2,2,2-trifluoroethanol",^2#2#2-trifluoroethanol
"2,2,2-trifluoroethanole",^2#2#2-trifluoroethanole
"2,2,2-trifluoroethoxy",^2#2#2-trifluoroethoxy
"2,2,2-trifluoroethyl alcohol",^2#2#2-trifluoroethyl alcohol
"2,2,2-trifluoroethylalcohol",^2#2#2-trifluoroethylalcohol
"2,2,2-trifluroethanol",^2#2#2-trifluroethanol
"2,2,2trifluoroethanol",^2#2#2trifluoroethanol
"2,2-trifluoroethanol",^2#2-trifluoroethanol
"2,2-trifluoroethyl alcohol",^2#2-trifluoroethyl alcohol
"2.2,2-trifluoroethanol",^2.2#2-trifluoroethanol
"beta,beta,beta-trifluoroethyl alcohol",beta#beta#beta-trifluoroethyl alcohol
"ethanol, 2,2,2-trifluoro-",ethanol#2#2#2-trifluoro-
"perfluoro-1,1-dihydroethanol",perfluoro-1#1-dihydroethanol
"mercurate(1-), (4-carboxylatophenyl)hydroxy-, hydrogen",mercurate(1-)#(4-carboxylatophenyl)hydroxy-#hydrogen
"mercurate(1-), sodium",mercurate(1-)#sodium
"mercury, (p-carboxyphenyl)hydroxy-",mercury#(p-carboxyphenyl)hydroxy-
"mercury, monosodium salt",mercury#monosodium salt
"mercury, sodium salt",mercury#sodium salt
"p-hydroxymercuribenzoic acid, sodium salt",p-hydroxymercuribenzoic acid#sodium salt
"hexanoic acid, 6-amino-",hexanoic acid#6-amino-
"hexanoic acid,6-amino",hexanoic acid#6-amino
"2,2-((2-amino-2-oxoethyl)azanediyl)diacetic acid",^2#2-((2-amino-2-oxoethyl)azanediyl)diacetic acid
"2,2-[(2-amino-2-oxoethyl)imino]diacetic acid",^2#2-[(2-amino-2-oxoethyl)imino]diacetic acid
"glycine, n-(2-amino-2-oxoethyl)-n-(carboxymethyl)-",glycine#n-(2-amino-2-oxoethyl)-n-(carboxymethyl)-
"adenosine, 5-(trihydrogen pyrophosphate)",adenosine#5-(trihydrogen pyrophosphate)
"sodium hydrogen {[(2r,3s,4r,5r)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy(hydroxy)phosphoryl}methylphosphonate",sodium hydrogen {[(2r#3s#4r#5r)-5-(6-aminopurin-9-yl)-3#4-dihydroxyoxolan-2-yl]methoxy(hydroxy)phosphoryl}methylphosphonate
"atp,gamma s",atp#gamma s
"ethanol, 2-mercapto-",ethanol#2-mercapto-
"ethylene glycol, monothio-",ethylene glycol#monothio-
"2-n,n,n-trimethylammonio acetate",^2-n#n#n-trimethylammonio acetate
"glycine, trimethylbetaine",glycine#trimethylbetaine
"n,n,n-trimethylammonioacetate",n#n#n-trimethylammonioacetate
"n,n,n-trimethylglycine",n#n#n-trimethylglycine
"glycine, n,n-bis(2-hydroxyethyl)-",glycine#n#n-bis(2-hydroxyethyl)-
"n,n-(2-dihydroxyethyl)glycine",n#n-(2-dihydroxyethyl)glycine
"n,n-(2-hydroxyethyl)glycine",n#n-(2-hydroxyethyl)glycine
"n,n-bis(.beta.-hydroxyethyl)glycine",n#n-bis(.beta.-hydroxyethyl)glycine
"n,n-bis(2-hydroxyethyl) glycine",n#n-bis(2-hydroxyethyl) glycine
"n,n-bis(2-hydroxyethyl)aminoacetic acid",n#n-bis(2-hydroxyethyl)aminoacetic acid
"n,n-bis(2-hydroxyethyl)glycine",n#n-bis(2-hydroxyethyl)glycine
"n,n-bis(beta-hydroxyethyl)glycine",n#n-bis(beta-hydroxyethyl)glycine
